IssueID,ConversationURL,Label,Model,TokensOfPrompts,TokensOfAnswers,PrimaryLanguage,Dev Sentiment Scores,GPT Sentiment Scores,Dev Sentiment Labels,GPT Sentiment Labels,Dev Sentiment EMA,GPT Sentiment EMA
fe59bbe8,https://chat.openai.com/share/1ac2e636-4df9-4255-bc4c-1760ee340f62,Validation,GPT-3.5,821,694,Java,"[-0.00034325757587794214, -0.00017301143088843673]","[-0.0013510869612218812, -0.0035898513888241723]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",-0.0002297601458849,-0.0028435965796234
fe066f3b,https://chat.openai.com/share/7b83f86f-4675-431e-96aa-c4871031522a,Ideation,GPT-3.5,15,1319,Python,"[-6.648048292845488e-05, -7.349663064815104e-05]","[-8.203209290513769e-05, -2.0787163521163166e-05]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",-7.115791474158566e-05,-4.1202139982488006e-05
fdce14dd,https://chat.openai.com/share/f732c824-abe6-45d7-9688-e37cdf7c726b,Validation,GPT-4,59,635,Python,"[-7.712813385296613e-05, -0.00012208198313601315]","[0.00010415996075607836, -0.00030540942680090666]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",-0.0001070973667083,-0.0001688862976152
fd434236,https://chat.openai.com/share/64fe813a-9565-4823-a426-b1d33cf4e5f0,Ideation,GPT-4,141,1545,Python,"[-0.021366364177083597, -3.3703705412335694e-05, -2.5910077965818346e-05, -0.00013751658843830228]","[-0.0004887979011982679, 2.4450266209896654e-05, 0.0013933029840700328, 8.28144111437723e-05]","['Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral']",-0.0046812130499165,0.0002654589723097
fce56c6e,https://chat.openai.com/share/e5429575-91aa-4585-9332-aa926bfd0085,Troubleshooting,GPT-4,65,605,TypeScript,[-0.000700070129823871],[-0.00011447717406554148],['Neutral'],['Neutral'],-0.0007000701298238,-0.0001144771740655
fcd811d6,https://chat.openai.com/share/00f50194-2715-4ad2-aee0-ebd76ba4f059,Troubleshooting,GPT-4,5554,8266,JavaScript,"[-0.00030591657559853047, -0.00040761932905297726, -0.0003117774540442042, -0.0005288874453981407, -0.0003370294289197773, -0.0003914713524864055, -0.0005863430196768604, -0.0003580075645004399, -0.0005641594616463408, -0.0002835819177562371, -0.00046517779264831915, -0.0005088112520752475, -0.000316237383231055, -0.00012471572699723765, -0.0003421155852265656, -0.0003853952803183347]","[-0.0003593183428165503, -0.0004579298401949927, -0.00048119948769453913, -0.0004206922894809395, -0.0009711000238894485, -0.0004189502724329941, -0.0007741164736216888, -0.0006507891084766015, -0.000533314909262117, -0.0006143881619209424, -0.0005472731572808698, -0.0004924521272187121, 4.921513027511537e-05, 0.99909431290871, -0.00038196766399778426, -0.00045575729018310085]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Positive', 'Neutral', 'Neutral']",-0.0003639626857427,0.0911046570420521
fcb435ce,https://chat.openai.com/share/04b7f69f-6f5c-4602-9283-5d942669bccb,Other,GPT-4,2033,1678,TypeScript,"[-0.001188428075693082, -0.00048348261771025136, -0.00036120629374636337]","[-0.0005434441118268296, -0.0003511471804813482, -0.0006312106852419674]","['Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral']",-0.000598580820224,-0.000539253165698
fc4c83ea,https://chat.openai.com/share/6811c6fd-4a1f-4e2c-9fe9-927a64ee8aee,Synthesis,GPT-4,41,1067,C#,"[3.24474967783317e-05, -5.9533631429076195e-06]","[-6.859212589915842e-05, -0.00014740808546775952]","['Neutral', 'Neutral']","['Neutral', 'Neutral']",6.846923497505487e-06,-0.0001211360989448
fa83bc71,https://chat.openai.com/share/a68b60db-c7a2-493c-b9e8-3ff4502ca20e,Other,GPT-4-PLUGINS,2054,558,JavaScript,[0.00023160014825407416],[0.00023873978352639824],['Neutral'],['Neutral'],0.000231600148254,0.0002387397835263
fa820651,https://chat.openai.com/share/7020ce72-65fc-45ec-b7be-9d9d798a5f3f,Troubleshooting,GPT-4,1889,569,C++,[-0.0003541260084602982],[-3.588187973946333e-05],['Neutral'],['Neutral'],-0.0003541260084602,-3.588187973946333e-05
