Issue_URL,Conversation_ID,ConversationURL,PrimaryLanguage,Model,TokensOfPrompts,TokensOfAnswers,TokensDiff,Dev Sentiment Scores,GPT Sentiment Scores,Dev Sentiment Labels,GPT Sentiment Labels,Dev Sentiment EMA,GPT Sentiment EMA,Topic_ID,Topic_Name
https://api.github.com/repos/runt1me/stormcloud/issues/29,4d72d078,https://chat.openai.com/share/bdc7c9e5-7e50-452b-a697-5c0518dc3454,Python,GPT-4,35,526,491,[-7.90220801718533e-05],[-6.970584217924625e-05],['Neutral'],['Neutral'],-7.90220801718533e-05,-6.970584217924625e-05,18,Interaction with GUI
https://api.github.com/repos/VOICEVOX/voicevox/issues/1004,9cac9289,https://chat.openai.com/share/cce984ef-c391-47a5-ab4e-e79d17b60ca7,TypeScript,GPT-4,49,622,573,[-0.0013404755445662886],[-0.0018251236178912222],['Neutral'],['Neutral'],-0.0013404755445662,-0.0018251236178912,3,Server Communication
https://api.github.com/repos/bcgit/bc-csharp/issues/410,1e02e897,https://chat.openai.com/share/6471db26-d1aa-4e76-bd69-73206ba70ad4,C#,GPT-4,4589,2670,-1919,"[-0.003210667819075752, -0.0228948260191828, -0.00010407403897261247, -0.0005806264161947183, -0.0002778890629997477, -5.772873555542901e-05, 1.7878708604257554e-05]","[2.148408384528011e-05, 0.9063997777120676, 4.332070966484025e-05, -0.00015979336603777483, 7.084250682964921e-06, -7.376914436463267e-05, -4.0964034269563854e-05]","['Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Positive', 'Neutral', 'Neutral', 'Neutral', 'Neutral', 'Neutral']",-0.0020445952477476,0.0537405497342255,24,Performance Optimization in Models
https://api.github.com/repos/lucidrains/enformer-pytorch/issues/13,0400a101,https://chat.openai.com/share/d048a71d-effe-4114-ba4a-6f296c550f40,Python,GPT-4,132,1658,1526,"[-5.576190596912056e-05, -8.33368903840892e-05, -4.134482151130214e-05]","[-7.294291572179645e-05, -0.0001411429257132113, 0.0013260101259220392]","['Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral']",-5.544710984395351e-05,0.0006094836026022,20,Python Backend Development
https://api.github.com/repos/nodejs/node/issues/45824,a0715d63,https://chat.openai.com/share/2736160d-2f1c-4663-b7e7-758d6a922a2c,JavaScript,GPT-3.5,16,550,534,[-4.198652459308505e-05],[-5.0642440328374505e-05],['Neutral'],['Neutral'],-4.198652459308505e-05,-5.0642440328374505e-05,3,Server Communication
https://api.github.com/repos/akorb/SteamShutdown/issues/52,8e8c020e,https://chat.openai.com/share/d92cccd8-b7bb-4d35-b82b-fff7ac9f7115,C#,GPT-3.5,62,300,238,[2.9550501494668424e-05],[-0.00018899727729149163],['Neutral'],['Neutral'],2.9550501494668424e-05,-0.0001889972772914,2,React Components
https://api.github.com/repos/openrewrite/rewrite-spring/issues/300,58522af4,https://chat.openai.com/share/3b804a18-c795-41e6-8254-335e340e9347,Java,GPT-3.5,81,1111,1030,"[-1.2849297490902245e-05, 5.1790193538181484e-05]","[-4.066833935212344e-05, 0.9938120023725787]","['Neutral', 'Neutral']","['Neutral', 'Positive']",3.02436965284869e-05,0.662527778801935,22,Statistical Resistance and Value Analysis
https://api.github.com/repos/2Abendsegler/GClh/issues/2376,f16b6a22,https://chat.openai.com/share/b5ba7d2c-5c8e-483d-b9ea-d2e9f79c24e2,JavaScript,GPT-3.5,137,827,690,"[-5.7131714129354805e-05, -2.57080391747877e-05, -0.00010012630082201213, -2.9756083677057177e-05]","[-0.00019449432875262573, -4.676646494772285e-05, 1.942356175277382e-05, -1.2592608982231468e-05]","['Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral']",-5.197515356121584e-05,-4.912053473526612e-05,15,Library Utilization
https://api.github.com/repos/keycloakify/keycloakify/issues/238,8e35c0a9,https://chat.openai.com/share/a3254182-6228-438d-888a-2084acea6e23,TypeScript,GPT-4,36,391,355,[-0.0004918357190035749],[0.000232831145694945],['Neutral'],['Neutral'],-0.0004918357190035,0.0002328311456949,1,API Development and Management
https://api.github.com/repos/nuhmanpk/Webtrench/issues/10,4dba6b96,https://chat.openai.com/share/94563ef8-29de-4a93-8693-69af585b5013,Python,GPT-4-CODE-INTERPRETER,54,3235,3181,"[8.028604497667402e-06, 5.9393642004579306e-05, 5.9393642004579306e-05, 5.9393642004579306e-05]","[-0.00015888323105173185, -0.00015888323105173185, -0.00019105395767837763, -0.00020726036018459126]","['Neutral', 'Neutral', 'Neutral', 'Neutral']","['Neutral', 'Neutral', 'Neutral', 'Neutral']",4.8298793903086335e-05,-0.0001859550570952,17,Language-Specific Security
